FID_g200,G200_REGIO,G200_NUM,G200_BIOME,FID_WWW_ed,OBJECTID,NAME,at_risk,Map_number,COUNTRY,TYPE,Region,FID_1,CONTINENT,sq_km
139,Valdivian Temperate Rain Forests / Juan Fern├índ,76,4,37,49,Mediterraneo,,,Chile,WCS areas of work,Patagonia,6,South America,3413
140,Western Congo Basin Moist Forests,6,1,16,18,Mbam et Djerem,,,Cameroon,WCS areas of work,Central Africa,1,Africa,433
140,Western Congo Basin Moist Forests,6,1,21,23,Ndoki-Likouala,,,Congo,WCS areas of work,Central Africa,1,Africa,34571
140,Western Congo Basin Moist Forests,6,1,47,62,Gabon,,,Gabon,Policy,Central Africa,1,Africa,100269
0,Alaskan North Slope Coastal Tundra,113,11,11,13,Colville River,y,8,USA,WCS areas of work,Arctic Beringia,4,North America,1049
0,Alaskan North Slope Coastal Tundra,113,11,12,14,Utukok River,y,7,USA,WCS areas of work,Arctic Beringia,4,North America,1049
14,Canadian Boreal Taiga,82,6,87,124,,,,Canada,,Northern Boreal,4,North America,0
79,Muskwa/Slave Lake Boreal Forests,81,6,87,124,,,,Canada,,Northern Boreal,4,North America,0
45,Eastern Himalayan Broadleaf and Conifer Forests,67,4,82,117,,,,Myanmar,,Greater Mekong,2,Asia,4
45,Eastern Himalayan Broadleaf and Conifer Forests,67,4,84,119,,,,Myanmar,,Greater Mekong,2,Asia,4
80,Naga-Manapuri-Chin Hills Moist Forests,34,1,82,117,,,,Myanmar,,Greater Mekong,2,Asia,1
80,Naga-Manapuri-Chin Hills Moist Forests,34,1,84,119,,,,Myanmar,,Greater Mekong,2,Asia,1
90,Northeastern Congo Basin Moist Forests,4,1,15,17,Kahuzi-Biega,,,DRC,WCS areas of work,Central Africa,1,Africa,40
90,Northeastern Congo Basin Moist Forests,4,1,17,19,Oku Reserve,,,DRC,WCS areas of work,Central Africa,1,Africa,40
94,Northern Prairies,94,8,89,126,Iinnii Home  Land,,,USA,WCS areas of work,,4,North America,1
94,Northern Prairies,94,8,90,127,High Divide,,,USA,WCS areas of work,,4,North America,1
126,Sudanian Savannas,89,7,23,25,Mayo-Bidjou,,,Cameroon,WCS areas of work,Central Africa,1,Africa,2
126,Sudanian Savannas,89,7,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,1,Africa,2
126,Sudanian Savannas,89,7,25,27,Mayo-Nduele,,,Cameroon,WCS areas of work,Central Africa,1,Africa,1
126,Sudanian Savannas,89,7,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,1,Africa,1
126,Sudanian Savannas,89,7,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,1,Africa,0
126,Sudanian Savannas,89,7,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,1,Africa,0
126,Sudanian Savannas,89,7,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,1,Africa,1
126,Sudanian Savannas,89,7,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,1,Africa,1
126,Sudanian Savannas,89,7,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,1,Africa,2
126,Sudanian Savannas,89,7,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,1,Africa,2
126,Sudanian Savannas,89,7,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,1,Africa,2
126,Sudanian Savannas,89,7,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,1,Africa,2
126,Sudanian Savannas,89,7,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,1,Africa,18
126,Sudanian Savannas,89,7,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,1,Africa,18
129,Sumatran Islands Lowland and Montane Forests,26,1,98,138,,,,Indonesia,,,2,Asia,7
129,Sumatran Islands Lowland and Montane Forests,26,1,102,144,,,,Indonesia,,,2,Asia,7
