FID_wwf_bi,BIOME,biome2,name,area,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name_1,Region,WCS_SH,Reason,sq_km
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,55,92,,,Cambodia,,0,,,Greater Mekong,1,,2224
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,56,93,,,Laos,,0,,,Greater Mekong,1,,13642
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,58,100,,,Myanmar y Thailand,,0,,,Greater Mekong,1,,1170
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,75,0,,,M├®xico,,0,,Occidentale Jaguar 1,,0,,7503
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,76,0,,,M├®xico,,0,,Occidentale Jaguar 2,,0,,665
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,108,0,,,,,0,,,,0,,22507
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,109,0,,,,,0,,,,0,,40572
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,110,0,,,,,0,,,,0,,29913
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,111,0,,,,,0,,,,0,,12977
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,112,0,,,,,0,,,,0,,51939
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,113,79,,,India,,0,,,South Asia,0,,2331
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,114,0,,,,,0,,,,0,,19728
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,118,0,Fiji,,,,0,,Fiji Stronghold,,1,,5731
2,3,3,Tropical_and_subtropical_coniferous_forests,0,31,49,,,Dominican Republic,,0,,Hispanola,Mesoamerica,0,,8710
2,3,3,Tropical_and_subtropical_coniferous_forests,0,32,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,2812
2,3,3,Tropical_and_subtropical_coniferous_forests,0,33,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,28422
2,3,3,Tropical_and_subtropical_coniferous_forests,0,43,67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan",A+B,0,,"Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,1,Limitations in B: Financial,9227
2,3,3,Tropical_and_subtropical_coniferous_forests,0,52,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,41211
