"FID_wwf_re,N,10,0","REALM,C,3","sq_km,N,10,0","FID_www_in,N,10,0",FID_WWW_ed,OBJECTID,NAME,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
3,AT,21657240,24,24,26,Campement des Rh,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,437
3,AT,21657240,25,25,27,Mayo-Nduele,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1193
3,AT,21657240,26,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,634
3,AT,21657240,27,27,29,Mayo-Oldiri-Nord,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1042
3,AT,21657240,28,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,733
3,AT,21657240,29,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2086
3,AT,21657240,30,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,0,1,Africa,726
3,AT,21657240,31,31,33,Cross River,,,"Nigeria, Cameroon",WCS areas of work,Central Africa,0,1,Africa,5311
3,AT,21657240,32,32,34,Takamanda,,,Nigeria,WCS areas of work,Central Africa,0,1,Africa,3463
3,AT,21657240,47,47,62,Gabon,,,Gabon,Policy,Central Africa,0,1,Africa,262569
3,AT,21657240,48,48,63,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,1749
3,AT,21657240,49,49,64,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,19757
3,AT,21657240,50,50,65,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,8939
3,AT,21657240,51,51,66,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,7729
3,AT,21657240,52,52,67,Central African Republic,,,Central African Republic,WCS areas of work,Sudano-Sahel,0,1,Africa,98897
3,AT,21657240,60,59,86,Ruaha-Katavi,,,Tanzania,,East Africa and West Indian Ocean,0,1,Africa,71300
3,AT,21657240,61,60,87,,,,Mozambique,,East Africa and West Indian Ocean,0,1,Africa,40926
3,AT,21657240,62,61,88,,,,Madagascar,,East Africa and West Indian Ocean,0,1,Africa,12141
3,AT,21657240,109,108,0,,,,,,,0,1,Africa,1076
4,IM,8499096,67,66,95,Sunderbans,,,Bangladesh,,South Asia,1,2,Asia,7190
4,IM,8499096,68,67,97,,,,India,,South Asia,1,2,Asia,34238
4,IM,8499096,69,68,99,Western Ghats,,,India,,South Asia,1,2,Asia,72670
4,IM,8499096,75,74,106,,,,Thailand,,Greater Mekong,1,2,Asia,2012
4,IM,8499096,76,75,107,,,,Cambodia,,Greater Mekong,1,2,Asia,8819
4,IM,8499096,77,76,108,,,,Cambodia,,Greater Mekong,1,2,Asia,3971
4,IM,8499096,78,77,109,,,,Cambodia,,Greater Mekong,1,2,Asia,758
4,IM,8499096,79,78,110,,,,Laos,,Greater Mekong,1,2,Asia,6199
4,IM,8499096,80,79,111,,,,Laos,,Greater Mekong,1,2,Asia,11141
4,IM,8499096,81,80,112,,,,Myanmar,,Greater Mekong,1,2,Asia,4553
4,IM,8499096,82,81,116,,,,Myanmar,,Greater Mekong,1,2,Asia,5183
4,IM,8499096,83,82,117,,,,Myanmar,,Greater Mekong,1,2,Asia,27906
4,IM,8499096,84,83,118,,,,Myanmar,,Greater Mekong,1,2,Asia,2309
4,IM,8499096,85,84,119,,,,Myanmar,,Greater Mekong,1,2,Asia,2747
4,IM,8499096,86,85,122,,,,Thailand,,Greater Mekong,1,2,Asia,7516
4,IM,8499096,87,86,123,,,,Thailand,,Greater Mekong,1,2,Asia,3434
4,IM,8499096,99,98,138,,,,Indonesia,,,1,2,Asia,1928
4,IM,8499096,100,99,139,,,,Indonesia,,,1,2,Asia,24453
4,IM,8499096,101,100,140,,,,Malaysia,,,1,2,Asia,7221
4,IM,8499096,102,101,143,,,,Malaysia,,,1,2,Asia,4316
4,IM,8499096,103,102,144,,,,Indonesia,,,1,2,Asia,42519
4,IM,8499096,104,103,145,,,,Philippines,,,1,2,Asia,86756
5,NA,20491302,0,0,2,Cape Krusenstern,n,4,USA,WCS areas of work,Arctic Beringia,3,4,North America,2608
5,NA,20491302,1,1,3,Gates of the Arctic,n,12,USA,WCS areas of work,Arctic Beringia,3,4,North America,33441
5,NA,20491302,2,2,4,Noatak,n,6,USA,WCS areas of work,Arctic Beringia,3,4,North America,26534
5,NA,20491302,3,3,5,Kobuk Valley,n,5,USA,WCS areas of work,Arctic Beringia,3,4,North America,6963
5,NA,20491302,5,5,7,Arctic,1002 area is,13,USA,WCS areas of work,Arctic Beringia,3,4,North America,79780
5,NA,20491302,6,6,8,Selawik NWR,n,21,USA,WCS areas of work,Arctic Beringia,3,4,North America,12462
5,NA,20491302,7,7,9,Yukon Delta NWR,n,22,USA,WCS areas of work,Arctic Beringia,3,4,North America,92195
5,NA,20491302,8,8,10,Togiak NWR,n,23,USA,WCS areas of work,Arctic Beringia,3,4,North America,18653
5,NA,20491302,10,10,12,Teshekpuk Lake,y,11,USA,WCS areas of work,Arctic Beringia,3,4,North America,14401
5,NA,20491302,11,11,13,Colville River,y,8,USA,WCS areas of work,Arctic Beringia,3,4,North America,8822
5,NA,20491302,12,12,14,Utukok River,y,7,USA,WCS areas of work,Arctic Beringia,3,4,North America,27507
5,NA,20491302,13,13,15,Peard Bay,y,10,USA,WCS areas of work,Arctic Beringia,3,4,North America,90
5,NA,20491302,14,14,16,Kasegaluk,y,9,USA,WCS areas of work,Arctic Beringia,3,4,North America,145
5,NA,20491302,88,87,124,,,,Canada,,Northern Boreal,3,4,North America,506037
5,NA,20491302,89,88,125,,,,Canada,,Northern Boreal,3,4,North America,450934
5,NA,20491302,90,89,126,Iinnii Home  Land,,,USA,WCS areas of work,,3,4,North America,195592
5,NA,20491302,91,90,127,High Divide,,,USA,WCS areas of work,,3,4,North America,273152
5,NA,20491302,106,105,147,Greater Gila,,,USA,,,3,4,North America,101628
6,NT,19308843,33,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,Patagonia,5,6,South America,78607
6,NT,19308843,34,34,38,Valdes,,,Argentina,WCS areas of work,Patagonia,5,6,South America,21620
6,NT,19308843,35,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,Patagonia,5,6,South America,56714
6,NT,19308843,36,36,44,Paraguayan Chaco,,,Paraguay,WCS areas of work,Patagonia,5,6,South America,27181
6,NT,19308843,37,37,49,Mediterraneo,,,Chile,WCS areas of work,Patagonia,5,6,South America,9700
6,NT,19308843,38,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,AAO,5,6,South America,132769
6,NT,19308843,39,39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,AAO,5,6,South America,45380
6,NT,19308843,40,40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,AAO,5,6,South America,170495
6,NT,19308843,41,41,55,Eastern Savannas of Arauca and Vichada,,,Colombia,WCS areas of work,AAO,5,6,South America,45719
6,NT,19308843,42,42,56,Middle Magdalena Valley,,,Colombia,WCS areas of work,AAO,5,6,South America,17789
6,NT,19308843,43,43,57,Western-Central Andes,,,Colombia,WCS areas of work,AAO,5,6,South America,39948
6,NT,19308843,44,44,58,Andes-Choco,,,Colombia,WCS areas of work,AAO,5,6,South America,24891
6,NT,19308843,45,45,59,Andean-Amazon piedmont of Putumayo,,,Colombia,WCS areas of work,AAO,5,6,South America,21816
6,NT,19308843,46,46,61,Lower R├¡o Negro,,,Brazil,WCS areas of work,AAO,5,6,South America,75354
6,NT,19308843,53,53,68,Maya Forest,,,"Guatemala, Mexico, Belize",WCS areas of work,Mesoamerica,3,4,North America,40735
6,NT,19308843,54,54,73,,,,Nicaragua,WCS areas of work,Mesoamerica,3,4,North America,38718
6,NT,19308843,55,55,76,,,,Cuba,WCS areas of work,Mesoamerica,3,4,North America,3273
6,NT,19308843,56,56,80,Meso Reef,,,Belize,WCS areas of work,Mesoamerica,3,4,North America,312
6,NT,19308843,57,57,81,,,,"Cost Rica, Panama",Partners work here,Mesoamerica,3,4,North America,37940
6,NT,19308843,58,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,3,4,North America,23492
6,NT,19308843,59,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,5,6,South America,6064
6,NT,19308843,107,106,52,,,,"Nicaragua, Costa Rica",,Mesoamerica,3,4,North America,10936
6,NT,19308843,108,107,0,,,,,,,3,4,North America,312
7,OC,46899,74,73,105,Vatu-i-Ra Seascape,,,Fiji,WCS areas of work,Melanesia,4,5,Oceania,7834
8,PA,52849857,4,4,6,Natural System of Wrangel Island Reserve,y,1,Russia,WCS areas of work,Arctic Beringia,1,2,Asia,7546
8,PA,52849857,9,9,11,Beringia NP,y,2,Russia,WCS areas of work,Arctic Beringia,1,2,Asia,13502
8,PA,52849857,63,62,89,Gobi,,,Mongolia,WCS areas of work,Temperate Asia,1,2,Asia,97653
8,PA,52849857,64,63,92,Saiga Range,,,Mongolia,"WCS areas of work, I",Temperate Asia,1,2,Asia,30049
8,PA,52849857,65,64,93,Changtang,,,China,"WCS areas of work, J",Temperate Asia,1,2,Asia,956127
8,PA,52849857,66,65,94,Northeast Asia Tiger Stronghold,,,"Russia, China","WCS areas of work, F",Temperate Asia,1,2,Asia,512118
8,PA,52849857,85,84,119,,,,Myanmar,,Greater Mekong,1,2,Asia,5723
8,PA,52849857,92,91,128,ESHKASHIM,,,Afghanistan,,,1,2,Asia,1569
8,PA,52849857,93,92,129,WAKHAN,,,Afghanistan,,,1,2,Asia,10352
8,PA,52849857,94,93,130,ZEBAK,,,Afghanistan,,,1,2,Asia,1989
8,PA,52849857,95,94,131,SAIGHAN,,,Afghanistan,,,1,2,Asia,2109
8,PA,52849857,96,95,132,YAKAWLANG,,,Afghanistan,,,1,2,Asia,6553
8,PA,52849857,97,96,133,PANJSHER,,,Afghanistan,,,1,2,Asia,3635
8,PA,52849857,98,97,136,KAHMARD,,,Afghanistan,,,1,2,Asia,1438
3,AT,21657240,120,15,17,Kahuzi-Biega,,,DRC,WCS areas of work,Central Africa,0,1,Africa,40
3,AT,21657240,121,17,19,Oku Reserve,,,DRC,WCS areas of work,Central Africa,0,1,Africa,40
3,AT,21657240,122,23,25,Mayo-Bidjou,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2
3,AT,21657240,123,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2
3,AT,21657240,124,25,27,Mayo-Nduele,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1
3,AT,21657240,125,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1
3,AT,21657240,126,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,0
3,AT,21657240,127,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,0
3,AT,21657240,128,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1
3,AT,21657240,129,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1
3,AT,21657240,130,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2
3,AT,21657240,131,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2
3,AT,21657240,132,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2
3,AT,21657240,133,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,0,1,Africa,2
3,AT,21657240,134,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,18
3,AT,21657240,135,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,0,1,Africa,18
4,IM,8499096,136,82,117,,,,Myanmar,,Greater Mekong,1,2,Asia,5
4,IM,8499096,137,84,119,,,,Myanmar,,Greater Mekong,1,2,Asia,5
4,IM,8499096,140,98,138,,,,Indonesia,,,1,2,Asia,7
4,IM,8499096,141,102,144,,,,Indonesia,,,1,2,Asia,7
5,NA,20491302,110,1,3,Gates of the Arctic,n,12,USA,WCS areas of work,Arctic Beringia,3,4,North America,0
5,NA,20491302,111,2,4,Noatak,n,6,USA,WCS areas of work,Arctic Beringia,3,4,North America,0
5,NA,20491302,112,2,4,Noatak,n,6,USA,WCS areas of work,Arctic Beringia,3,4,North America,4
5,NA,20491302,113,12,14,Utukok River,y,7,USA,WCS areas of work,Arctic Beringia,3,4,North America,4
5,NA,20491302,114,3,5,Kobuk Valley,n,5,USA,WCS areas of work,Arctic Beringia,3,4,North America,2
5,NA,20491302,115,6,8,Selawik NWR,n,21,USA,WCS areas of work,Arctic Beringia,3,4,North America,2
5,NA,20491302,116,7,9,Yukon Delta NWR,n,22,USA,WCS areas of work,Arctic Beringia,3,4,North America,0
5,NA,20491302,117,8,10,Togiak NWR,n,23,USA,WCS areas of work,Arctic Beringia,3,4,North America,0
5,NA,20491302,118,11,13,Colville River,y,8,USA,WCS areas of work,Arctic Beringia,3,4,North America,1064
5,NA,20491302,119,12,14,Utukok River,y,7,USA,WCS areas of work,Arctic Beringia,3,4,North America,1064
5,NA,20491302,138,89,126,Iinnii Home  Land,,,USA,WCS areas of work,,3,4,North America,1
5,NA,20491302,139,90,127,High Divide,,,USA,WCS areas of work,,3,4,North America,1
