FID_wwf_re,REALM,sq_km,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name,Region,WCS_SH,Reason,sq_km
5,NA,20491302,75,0,,,M├®xico,,0,,Occidentale Jaguar 1,,0,,12581
5,NA,20491302,76,0,,,M├®xico,,0,,Occidentale Jaguar 2,,0,,32710
5,NA,20491302,77,0,,,USA,,0,,Panhandle Shortgrass Steppe,,0,,28441
5,NA,20491302,78,0,,,USA,,0,,6,,0,,26310
5,NA,20491302,79,0,,,USA,,0,,5,,0,,60221
5,NA,20491302,80,0,,,USA,,0,,8,,0,,20226
5,NA,20491302,81,0,,,USA,,0,,Sand Hiills,,0,,66491
5,NA,20491302,82,0,,,USA,,0,,Paha Sapa,,0,,58435
5,NA,20491302,83,0,,,USA,,0,,Yellowstone Grasslands,,0,,56470
5,NA,20491302,102,0,,,USA,,0,,,Arctic Beringia,0,,136093
6,NT,19308843,18,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,56866
6,NT,19308843,19,23,,,Colombia,,0,,Central Andes,AAO,1,,105373
6,NT,19308843,20,24,,,Colombia,,0,,Orinoqu├¡a,AAO,1,,115259
6,NT,19308843,21,30,,,Colombia y Ecuador,,0,,South-Choc├│,AAO,0,,53358
6,NT,19308843,22,31,,,Colombia,,0,,Sierra Nevada de Santa Marta,AAO,0,,12247
6,NT,19308843,23,32,,,Colombia y Venezuela,,0,,Perij├í,AAO,0,,18197
6,NT,19308843,24,33,,,Colombia,,0,,Macarena - Tinig├╝a,AAO,0,,30619
6,NT,19308843,25,38,,,Bolivia,,0,,Altiplano,AAO,0,,135833
6,NT,19308843,30,48,,,Cuba,,0,,,Mesoamerica,1,,3638
6,NT,19308843,31,49,,,Dominican Republic,,0,,Hispanola,Mesoamerica,0,,22771
6,NT,19308843,32,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,130560
6,NT,19308843,33,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,81451
6,NT,19308843,34,52,,,"Nicaragua, Costa Rica",,0,,,Mesoamerica,1,,10993
6,NT,19308843,35,53,,,"Cost Rica, Panama",,0,,,Mesoamerica,1,,38511
6,NT,19308843,36,54,,,"Panama, Colombia",,0,,,Mesoamerica,1,,9404
6,NT,19308843,76,0,,,M├®xico,,0,,Occidentale Jaguar 2,,0,,665
6,NT,19308843,114,0,,,,,0,,,,0,,3364819
6,NT,19308843,115,0,,,,,0,,,,0,,500931
6,NT,19308843,116,0,,,,,0,,,,0,,1098607
6,NT,19308843,117,0,,,,,0,,,,0,,126159
7,OC,46899,118,0,Fiji,,,,0,,Fiji Stronghold,,1,,16880
8,PA,52849857,42,66,,Asia,China,J,0,,Changtang,Temperate Asia,1,"Political, Financial",786571
8,PA,52849857,43,67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan",A+B,0,,"Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,1,Limitations in B: Financial,858038
