FID_WDPA_O,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG_ENG,DESIG_TYPE,IUCN,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,SCAPENAME,PROGRAM,COUNTRY,Region,sq_km
36,53,53,Parque Nacional Do Ja├║,Parque Nacional Do Ja├║,Park,National,II,Not Applicable,Designated,1980,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,30
56535,220296,220296,Central Amazon Conservation Complex,Complexe de conservation de lÔÇÖAmazonie centrale,World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),Inscribed,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,30
80926,352134,352134,Reserva De Desenvolvimento Sustent├ível Aman├ú,Reserva De Desenvolvimento Sustent├ível Aman├ú,Sustainable Development Reserve,National,VI,Not Applicable,Designated,1998,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,30
36,53,53,Parque Nacional Do Ja├║,Parque Nacional Do Ja├║,Park,National,II,Not Applicable,Designated,1980,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,4
56535,220296,220296,Central Amazon Conservation Complex,Complexe de conservation de lÔÇÖAmazonie centrale,World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),Inscribed,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,4
80941,352149,352149,Parque Estadual Rio Negro Setor Norte,Parque Estadual Rio Negro Setor Norte,Park,National,II,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,4
37,54,54,Parque Nacional Do Pico Da Neblina,Parque Nacional Do Pico Da Neblina,Park,National,II,Not Applicable,Designated,1979,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,38
8930,30029,30029,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,Biosphere Reserve (RB),National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,38
11809,61416,61416,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,38
37,54,54,Parque Nacional Do Pico Da Neblina,Parque Nacional Do Pico Da Neblina,Park,National,II,Not Applicable,Designated,1979,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,383
9732,33821,33821,Reserva Biol├│gica Morro Dos Seis Lagos,Reserva Biol├│gica Morro Dos Seis Lagos,Biological Reserve,National,Ia,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,383
81019,352262,352262,Balaio,Balaio,Indigenous Area,National,Not Reported,Not Applicable,Designated,2009,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,383
1131,2037,2037,Parque Nacional Pil├│n-Lajas,Parque Nacional Pil├│n-Lajas,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1977,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,649,BO-L;BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,3786
6732,20011,20011,Pil├│n Lajas,Pil├│n Lajas,Biosphere Reserve and Indigenous Territory,National,Not Reported,Not Applicable,Designated,1992,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1860,BO-L,BOL,BOL,Not Applicable,Not Applicable,,,,,3786
57974,303898,303898,Pil├│n Lajas,Pil├│n Lajas,Indigenous Territory,National,Not Reported,Not Applicable,Designated,1992,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,828,BO-L;BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,3786
1131,2037,2037,Parque Nacional Pil├│n-Lajas,Parque Nacional Pil├│n-Lajas,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1977,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,649,BO-L;BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,7
17056,98183,98183,Madidi,Madidi,National Park,National,Not Reported,Not Applicable,Designated,1995,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1860,BO-L,BOL,BOL,Not Applicable,Not Applicable,,,,,7
57974,303898,303898,Pil├│n Lajas,Pil├│n Lajas,Indigenous Territory,National,Not Reported,Not Applicable,Designated,1992,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,828,BO-L;BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,7
1131,2037,2037,Parque Nacional Pil├│n-Lajas,Parque Nacional Pil├│n-Lajas,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1977,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,649,BO-L;BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,12
57970,303894,303894,Madidi,Madidi,Natural Integrated Management Area,National,Not Reported,Not Applicable,Designated,1995,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1860,BO-L,BOL,BOL,Not Applicable,Not Applicable,,,,,12
57974,303898,303898,Pil├│n Lajas,Pil├│n Lajas,Indigenous Territory,National,Not Reported,Not Applicable,Designated,1992,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,828,BO-L;BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,12
1181,2215,2215,Parque Nacional De Anavilhanas,Parque Nacional De Anavilhanas,Park,National,II,Not Applicable,Designated,1981,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,88
56535,220296,220296,Central Amazon Conservation Complex,Complexe de conservation de lÔÇÖAmazonie centrale,World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),Inscribed,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,88
80936,352144,352144,├ürea De Prote├º├úo Ambiental Margem Esquerda Do Rio Negro-Setor Aturi├í-Apuauzinho,├ürea De Prote├º├úo Ambiental Margem Esquerda Do Rio Negro-Setor Aturi├í-Apuauzinho,Environmental Protection Area,National,V,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,88
1181,2215,2215,Parque Nacional De Anavilhanas,Parque Nacional De Anavilhanas,Park,National,II,Not Applicable,Designated,1981,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,3
56535,220296,220296,Central Amazon Conservation Complex,Complexe de conservation de lÔÇÖAmazonie centrale,World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),Inscribed,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,3
80939,352147,352147,├ürea De Prote├º├úo Ambiental Margem Direita Do Rio Negro- Setor Paduari-Solim├Áes,├ürea De Prote├º├úo Ambiental Margem Direita Do Rio Negro- Setor Paduari-Solim├Áes,Environmental Protection Area,National,V,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,3
1908,4367,4367,Serran├¡a La Neblina,Serran├¡a La Neblina,National Park (PN),National,II,Not Applicable,Designated,1978,Federal or national ministry or agency,State,Instituto Nacional de Parques (INPARQUES),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,11747
8930,30029,30029,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,Biosphere Reserve (RB),National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,11747
11809,61416,61416,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,11747
3222,9308,9308,Estaci├│n Biol├│gica del Beni,Estaci├│n Biol├│gica del Beni,Biosphere Reserve,National,Not Reported,Not Applicable,Designated,1982,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1860,BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,28
4536,12472,12472,Estaci├│n Biol├│gica Beni,Estaci├│n Biol├│gica Beni,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1986,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,649,BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,28
75672,342465,342465,Yacuma,Yacuma,Regional Park,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1860,BO-B,BOL,BOL,Not Applicable,Not Applicable,,,,,28
3796,10845,10845,Esta├º├úo Ecol├│gica De Juta├¡-Solim├Áes,Esta├º├úo Ecol├│gica De Juta├¡-Solim├Áes,Ecological Station,National,Ia,Not Applicable,Designated,1983,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,0
9733,33831,33831,├ürea De Relevante Interesse Ecol├│gica Javari Buriti,├ürea De Relevante Interesse Ecol├│gica Javari Buriti,Area of Relevant Ecological Interest,National,IV,Not Applicable,Designated,1985,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,0
9771,33906,33906,Betania,Betania,Indigenous Area,National,Not Reported,Not Applicable,Designated,1996,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,0
6581,19769,19769,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Sustainable Development Reserve,National,VI,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,16
9744,33867,33867,Jaquiri,Jaquiri,Indigenous Area,National,Not Reported,Not Applicable,Designated,1995,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,16
16963,95320,95320,Mamirau├í,Mamirau├í,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,16
6581,19769,19769,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Sustainable Development Reserve,National,VI,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,99
16963,95320,95320,Mamirau├í,Mamirau├í,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,99
56535,220296,220296,Central Amazon Conservation Complex,Complexe de conservation de lÔÇÖAmazonie centrale,World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),Inscribed,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,99
6581,19769,19769,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Sustainable Development Reserve,National,VI,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,0
16963,95320,95320,Mamirau├í,Mamirau├í,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,0
80734,351777,351777,Reserva Extrativista Auat├¡-Paran├í,Reserva Extrativista Auat├¡-Paran├í,Extractive Reserve,National,VI,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,0
6581,19769,19769,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Sustainable Development Reserve,National,VI,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,183
16963,95320,95320,Mamirau├í,Mamirau├í,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,183
81071,352317,352317,Acapuri de Cima,Acapuri de Cima,Indigenous Area,National,Not Reported,Not Applicable,Designated,2004,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,183
6581,19769,19769,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Reserva De Desenvolvimento Sustent├ível Mamirau├í,Sustainable Development Reserve,National,VI,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,26
16963,95320,95320,Mamirau├í,Mamirau├í,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,26
81074,352320,352320,Porto Praia,Porto Praia,Indigenous Area,National,Not Reported,Not Applicable,Designated,2004,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,26
8927,30026,30026,Par├¡ma - Tapirapeco,Par├¡ma - Tapirapeco,National Park (PN),National,II,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Instituto Nacional de Parques (INPARQUES),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,7039
8930,30029,30029,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,Biosphere Reserve (RB),National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,7039
11809,61416,61416,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,7039
8927,30026,30026,Par├¡ma - Tapirapeco,Par├¡ma - Tapirapeco,National Park (PN),National,II,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Instituto Nacional de Parques (INPARQUES),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,45
9408,31759,31759,Floresta Nacional Do Amazonas,Floresta Nacional Do Amazonas,Forest,National,VI,Not Applicable,Designated,1989,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,45
9674,33521,33521,Parque Estadual Serra Do Arac├í,Parque Estadual Serra Do Arac├í,Park,National,II,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,45
8927,30026,30026,Par├¡ma - Tapirapeco,Par├¡ma - Tapirapeco,National Park (PN),National,II,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Instituto Nacional de Parques (INPARQUES),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,20
9408,31759,31759,Floresta Nacional Do Amazonas,Floresta Nacional Do Amazonas,Forest,National,VI,Not Applicable,Designated,1989,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,20
17228,101149,101149,Cerro Tamacuari y Serran├¡a Tapirapec├│,Cerro Tamacuari y Serran├¡a Tapirapec├│,Natural Monument (MN),National,III,Not Applicable,Designated,1990,Federal or national ministry or agency,State,Instituto Nacional de Parques (INPARQUES),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,20
8930,30029,30029,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,Biosphere Reserve (RB),National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,19
9408,31759,31759,Floresta Nacional Do Amazonas,Floresta Nacional Do Amazonas,Forest,National,VI,Not Applicable,Designated,1989,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,19
11809,61416,61416,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,19
8930,30029,30029,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,Biosphere Reserve (RB),National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,1
9674,33521,33521,Parque Estadual Serra Do Arac├í,Parque Estadual Serra Do Arac├í,Park,National,II,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,1
11809,61416,61416,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,1
8930,30029,30029,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,Biosphere Reserve (RB),National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,1027
11809,61416,61416,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,1027
17221,101142,101142,Sierra Untur├ín,Sierra Untur├ín,Natural Monument (MN),National,III,Not Applicable,Designated,1990,Federal or national ministry or agency,State,Instituto Nacional de Parques (INPARQUES),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,1027
8930,30029,30029,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,Biosphere Reserve (RB),National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,1167
11809,61416,61416,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,1167
17224,101145,101145,Cerro Vinilla y Cerro Aratitiyope,Cerro Vinilla y Cerro Aratitiyope,Natural Monument (MN),National,III,Not Applicable,Designated,1990,Federal or national ministry or agency,State,Instituto Nacional de Parques (INPARQUES),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,1167
8930,30029,30029,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,Biosphere Reserve (RB),National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,23
11809,61416,61416,Alto Orinoco - Casiquiare,Alto Orinoco - Casiquiare,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1991,Federal or national ministry or agency,State,Ministerio del Poder Popular para el Ecosocialismo (MINEC),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,23
17228,101149,101149,Cerro Tamacuari y Serran├¡a Tapirapec├│,Cerro Tamacuari y Serran├¡a Tapirapec├│,Natural Monument (MN),National,III,Not Applicable,Designated,1990,Federal or national ministry or agency,State,Instituto Nacional de Parques (INPARQUES),No,State Verified,1981,VEN-AM,VEN,VEN,Not Applicable,Not Applicable,,,,,23
9418,31774,31774,Reserva Extrativista Alto Juru├í,Reserva Extrativista Alto Juru├í,Extractive Reserve,National,VI,Not Applicable,Designated,1990,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-AC,BRA,BRA,Not Applicable,Not Applicable,,,,,0
9712,33729,33729,Kampa do Rio Amonea,Kampa do Rio Amonea,Indigenous Area,National,Not Reported,Not Applicable,Designated,1995,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AC,BRA,BRA,Not Applicable,Not Applicable,,,,,0
81053,352297,352297,Arara do Rio Amonia,Arara do Rio Amonia,Indigenous Area,National,Not Reported,Not Applicable,Designated,2009,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AC,BRA,BRA,Not Applicable,Not Applicable,,,,,0
9421,31777,31777,Reserva Extrativista Rio Ouro Preto,Reserva Extrativista Rio Ouro Preto,Extractive Reserve,National,VI,Not Applicable,Designated,1990,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conserva├º├úo da Biodiversidade,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,,,,,0
9696,33612,33612,Parque Estadual De Guajar├í-Mirim,Parque Estadual De Guajar├í-Mirim,Park,National,II,Not Applicable,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Desenvolvimento Ambiental de Rond├┤nia,Not Reported,State Verified,1802,BR-RO,BRA,BRA,Not Applicable,Not Applicable,,,,,0
9871,34045,34045,Uru-Eu-Wau-Wau,Uru-Eu-Wau-Wau,Indigenous Area,National,Not Reported,Not Applicable,Designated,1988,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA,Not Applicable,Not Applicable,,,,,0
9724,33745,33745,Mamoadate,Mamoadate,Indigenous Area,National,Not Reported,Not Applicable,Designated,1999,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AC,BRA,BRA,Not Applicable,Not Applicable,,,,,0
57669,303316,303316,Alto Purus,Alto Pur├║s,National Park,National,II,Not Applicable,Designated,2004,Federal or national ministry or agency,State,Servicio Nacional de ├üreas Naturales Protegidas por el estado (SERNANP),http://sis.sernanp.gob.pe/biblioteca/?publicacion=1080,State Verified,1811,PE-UCA,PER,PER,Not Applicable,Not Applicable,,,,,0
80798,351842,351842,Parque Estadual Chandless,Parque Estadual Chandless,Park,National,II,Not Applicable,Designated,2004,Sub-national ministry or agency,Not Reported,Secretaria de Estado de Meio Ambiente do Acre,Not Reported,State Verified,1802,BR-AC,BRA,BRA,Not Applicable,Not Applicable,,,,,0
16963,95320,95320,Mamirau├í,Mamirau├í,"Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(v)(vii)(viii),Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,6
56535,220296,220296,Central Amazon Conservation Complex,Complexe de conservation de lÔÇÖAmazonie centrale,World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),Inscribed,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,6
80926,352134,352134,Reserva De Desenvolvimento Sustent├ível Aman├ú,Reserva De Desenvolvimento Sustent├ível Aman├ú,Sustainable Development Reserve,National,VI,Not Applicable,Designated,1998,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA,Not Applicable,Not Applicable,,,,,6
