FID_WDPA_O,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG_ENG,DESIG_TYPE,IUCN,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,SCAPENAME,PROGRAM,COUNTRY,Region,sq_km
2932,7909,7909,Alerce Andino,Alerce Andino,National Park,National,II,Not Applicable,Designated,1983,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20PN%20Alerce%20Andino.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,,,,,314
3256,9414,9414,Bernardo O'Higgins,Bernardo O'Higgins,National Park,National,II,Not Applicable,Designated,1969,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20PN%20Bernardo%20Ohiggins.pdf,State Verified,1808,"CL-MA, CL-AI",CHL,CHL,Not Applicable,Not Applicable,,,,,41646
3257,9415,9415,Laguna del Laja,Laguna del Laja,National Park,National,II,Not Applicable,Designated,1958,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PN%20Laguna%20del%20Laja.pdf,State Verified,1808,CL-BI,CHL,CHL,Not Applicable,Not Applicable,,,,,160
3259,9417,9417,Tolhuaca,Tolhuaca,National Park,National,II,Not Applicable,Designated,1935,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_PN_Tolhuaca.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,,,,,1
3261,9419,9419,Isla Magdalena,Isla Magdalena,National Park,National,II,Not Applicable,Designated,1983,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,2563
3263,9421,9421,El Morado,El Morado,Natural Monument,National,III,Not Applicable,Designated,1995,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20el%20morado.pdf,State Verified,1808,CL-RM,CHL,CHL,Not Applicable,Not Applicable,,,,,29
3264,9423,9423,Ralco,Ralco,National Reserve,National,IV,Not Applicable,Designated,1988,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20Ralco%201996.pdf,State Verified,1808,CL-BI,CHL,CHL,Not Applicable,Not Applicable,,,,,129
3265,9424,9424,Queulat,Queulat,National Park,National,II,Not Applicable,Designated,1983,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PN%20Queulat.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,1586
3268,9427,9427,Cinco Hermanas,Cinco Hermanas,Natural Monument,National,III,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_MN_Cinco_Hermanas.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,2
3269,9428,9428,Dos Lagunas,Dos Lagunas,Natural Monument,National,III,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_MN_Dos_Lagunas.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,2
3271,9430,9430,Laguna de Los Cisnes,Laguna de Los Cisnes,Natural Monument,National,III,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_MN_Laguna_de_los_Cisnes.pdf,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,,,,,17
3272,9431,9431,Los Ping├╝inos,Los Ping├╝inos,Natural Monument,National,III,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/MN%20Los%20Pinguinos.pdf,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,,,,,1
3273,9432,9432,R├¡o Clarillo,R├¡o Clarillo,National Reserve,National,IV,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20R%C3%ADo%20Clarillo%201996.PDF,State Verified,1808,CL-RM,CHL,CHL,Not Applicable,Not Applicable,,,,,131
3274,9433,9433,Malleco,Malleco,Forest Reserve,National,IV,Not Applicable,Designated,1907,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Malleco.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,,,,,0
3278,9439,9439,Llanquihue,Llanquihue,Forest Reserve,National,IV,Not Applicable,Designated,1912,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Lago_Llanquihue.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,,,,,286
3279,9440,9440,Lago Carlota,Lago Carlota,Forest Reserve,National,IV,Not Applicable,Designated,1965,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/plan%20de%20manejo%20Lago%20Carlota.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,270
3280,9441,9441,Lago Palena,Lago Palena,Forest Reserve,National,IV,Not Applicable,Designated,1965,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_RN_Lago_Palena.pdf,State Verified,1808,"CL-LL, CL-AI",CHL,CHL,Not Applicable,Not Applicable,,,,,467
3281,9442,9442,Lago Rosselot,Lago Rosselot,Forest Reserve,National,IV,Not Applicable,Designated,1983,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,125
3282,9443,9443,Lago Las Torres,Lago Las Torres,Forest Reserve,National,IV,Not Applicable,Designated,1982,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RF%20Lago%20Las%20Torres%201989.PDF,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,163
3283,9444,9444,R├¡o Simpsom,R├¡o Simpsom,National Reserve,National,IV,Not Applicable,Designated,2000,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20R%C3%ADo%20Simpson.pdf,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,407
3284,9445,9445,Las Guaitecas,Las Guaitecas,Forest Reserve,National,IV,Not Applicable,Designated,1938,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,6000
3285,9447,9447,R├¡o Blanco,R├¡o Blanco,Forest Reserve,National,IV,Not Applicable,Designated,1932,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-VS,CHL,CHL,Not Applicable,Not Applicable,,,,,52
3286,9448,9448,R├¡o Los Cipreses,R├¡o Los Cipreses,National Reserve,National,IV,Not Applicable,Designated,1986,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20RN%20R%C3%ADo%20de%20los%20Cipreses%202000.pdf,State Verified,1808,CL-LI,CHL,CHL,Not Applicable,Not Applicable,,,,,387
3289,9452,9452,Katalalixar,Katalalixar,Forest Reserve,National,IV,Not Applicable,Designated,1984,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,,,,,4412
3730,10700,10700,Alberto D'Agostini,Alberto D'Agostini,National Park,National,II,Not Applicable,Designated,1965,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,,,,,11911
3731,10706,10706,Villarrica,Villarrica,Forest Reserve,National,IV,Not Applicable,Designated,1912,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20Villarrica%202013.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,,,,,0
3800,10877,10877,Isla de los Estados y Archipi├®lago de A├▒o Nuevo,Isla de los Estados y Archipi├®lago de A├▒o Nuevo,Wilderness Nature Reserve,National,Ib,Not Applicable,Designated,2016,Federal or national ministry or agency,Not Reported,"Ministerio de Defensa, Administraci├│n de Parques Nacionales y Pcia. de Tierra del Fuego",Not Reported,State Verified,1935,AR-V,ARG,ARG,Not Applicable,Not Applicable,,,,,500
