FID_WDPA_O,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,FID_strong,FID_stro_1,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,WCS_SH,Reason,CONTINENT,sq_km
17817,102817,102817,1,Naacht├║n - Dos Lagunas,Naacht├║n - Dos Lagunas,Biotopo Protegido,Protected Biotope,National,II,Not Applicable,Designated,1990,Collaborative governance,State,CECON / USAC,Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,294
17859,103167,103167,1,Uaymil,Uaymil,├ürea de Protecci├│n de Flora y Fauna,Flora and Fauna Protection Area,National,VI,Not Applicable,Designated,1994,Federal or national ministry or agency,State,National Commission of Natural Protected Areas,http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/RESUMENuaymil.pdf,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,891
17860,103168,103168,1,Yum Balam,Yum Balam,├ürea de Protecci├│n de Flora y Fauna,Flora and Fauna Protection Area,National,VI,Not Applicable,Designated,2008,Federal or national ministry or agency,State,National Commission of Natural Protected Areas,Not Reported,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,665
18331,107046,107046,1,El Mirador,El Mirador,Parque Regional Municipal,Regional Municipal Park,National,IV,Not Applicable,Designated,2007,Sub-national ministry or agency,State,"Municipalidad de San Francisco, Pet├®n",Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
18333,107048,107048,1,El Pollo,El Pollo,Reserva Natural Privada,Private Natural Reserve,National,V,Not Applicable,Designated,2006,Individual landowners,Individual landowners,Raul Granados Espa├▒a,Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1
18341,107058,107058,1,Finca AA,Finca AA,Reserva Natural Privada,Private Natural Reserve,National,V,Not Applicable,Designated,2006,Individual landowners,Individual landowners,Alberto Gir├│n Cabrera,Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,5
18350,107070,107070,1,Monte Mar├¡a,Finca Monte Mar├¡a,Reserva Natural Privada,Private Natural Reserve,National,V,Not Applicable,Designated,2007,Individual landowners,Individual landowners,Jos├® Gonzalo Rosado Pinelo,Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,5
18356,107079,107079,1,La Democracia,La Democracia,Reserva Natural Privada,Private Natural Reserve,National,V,Not Applicable,Designated,2006,Individual landowners,Individual landowners,Jos├® Caal Caal,Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1
18357,107080,107080,1,La ENEA,La ENEA,Parque Regional Municipal,Regional Municipal Park,National,IV,Not Applicable,Designated,2007,Sub-national ministry or agency,State,"Municipalidad de Popt├║n, Peten",Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1
18394,107122,107122,1,Nueva Juventud,Nueva Juventud,Parque Regional Municipal,Regional Municipal Park,National,IV,Not Applicable,Designated,2007,Sub-national ministry or agency,State,"Municipalidad de San Andr├®s, Pet├®n",Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
18418,107154,107154,1,Venus Verdoso,Venus Verdoso,Parque Regional Municipal,Regional Municipal Park,National,IV,Not Applicable,Designated,2007,Sub-national ministry or agency,State,Municipalidad de La Libertad Peten,Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
18421,107165,107165,1,Yaxh├í,Yaxh├í,Reserva Natural Privada,Private Natural Reserve,National,V,Not Applicable,Designated,2002,Joint governance,Individual landowners,Rodrigo Ibarguen Castillo,Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,2
18423,107204,107204,1,Krooman,Krooman,Public Reserve,Public Reserve,National,Not Reported,Not Applicable,Designated,2013,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1844,BZ-BZ,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
18427,107237,107237,1,Punta Gorda,Punta Gorda,Reserva Natural,Nature Reserve,National,IV,Not Applicable,Designated,1999,Federal or national ministry or agency,Not Reported,Ministerio del Ambiente y Los Recursos Naturales (MARENA),Not Reported,State Verified,820,NI-CS,NIC,NIC,Not Applicable,Not Applicable,35,34,52,,,"Nicaragua, Costa Rica",Mesoamerica,1,,North America,637
18429,107267,107267,1,Cerro Caraiguana,Cerro Caraiguana,Reserva H├¡drica,Water Reserve,National,V,Not Applicable,Designated,2008,Federal or national ministry or agency,Not Reported,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,3
18430,107268,107268,1,Cerrezuela,Cerrezuela,Reserva H├¡drica,Water Reserve,National,V,Not Applicable,Designated,2000,Federal or national ministry or agency,Not Reported,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,0
18431,107271,107271,1,Cerro Guacamaya,Cerro Guacamaya,Reserva H├¡drica,Water Reserve,National,V,Not Applicable,Designated,1993,Federal or national ministry or agency,Multiple ownership,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,51
18432,107289,107289,1,Damani-Guariviara,Damani-Guariviara,Humedal de Importancia Internacional,Wetland,National,Not Reported,Not Applicable,Designated,2004,Indigenous peoples,Communal,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,232
18433,107292,107292,1,Donoso,Donoso,├ürea de Uso M├║ltiple,Multiple Use Areas,National,VI,Not Applicable,Designated,2009,Federal or national ministry or agency,Not Reported,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,1692
18436,107321,107321,1,Laguna de Volc├ín,Laguna de Volc├ín,Humedal,Wetland,National,Not Reported,Not Applicable,Designated,1994,Federal or national ministry or agency,Multiple ownership,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,1
18506,107539,107539,1,Balam-Kin,Balam-Kin,Zona Sujeta a Conservaci├│n Ecol├│gica,Ecological Conservation,National,Not Reported,Not Applicable,Designated,1999,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1850,MX-CAM,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,4
18605,107668,107668,1,├ürea de Conservaci├│n El Zapotal,├ürea de Conservaci├│n El Zapotal,├ürea Destinada Voluntariamente a la Conservaci├│n,Voluntary Conservation Area,National,VI,Not Applicable,Designated,2006,Individual landowners,Individual landowners,National Commission of Natural Protected Areas,Not Reported,State Verified,1850,MX-YUC,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,24
18633,107713,107713,1,Kabah,Kabah,Parque Urbano,City Park,National,Not Reported,Not Applicable,Designated,1995,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
18666,107753,107753,1,Laguna de Manat├¡,Laguna de Manat├¡,Zona Sujeta a Conservaci├│n Ecol├│gica,Ecological Conservation,National,Not Reported,Not Applicable,Designated,1999,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1
18669,107757,107757,1,Laguna Ik,Laguna Ik,Jard├¡n de Regeneraci├│n y Recuperaci├│n de Especies,Municipal Park,National,Not Reported,Not Applicable,Designated,2006,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1850,MX-CAM,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,285
18694,107787,107787,1,Manglares de Nichupt├®,Manglares de Nichupt├®,├ürea de Protecci├│n de Flora y Fauna,Flora and Fauna Protection Area,National,VI,Not Applicable,Designated,2008,Federal or national ministry or agency,State,National Commission of Natural Protected Areas,http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2015/Acuerdo_Manglares_Nichupte.pdf,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,37
18744,107859,107859,1,Refugio Estatal de Flora y Fauna Sistema Lagunar Chacmochuch,Refugio Estatal de Flora y Fauna Sistema Lagunar Chacmochuch,Zona Sujeta a Conservaci├│n Ecol├│gica,Ecological Conservation,National,Not Reported,Not Applicable,Designated,1999,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1
18746,107863,107863,1,Reserva Ecol├│gica El Eden,Reserva Ecol├│gica El Eden,├ürea Destinada Voluntariamente a la Conservaci├│n,Voluntary Conservation Area,National,VI,Not Applicable,Designated,2007,Individual landowners,Individual landowners,National Commission of Natural Protected Areas,Not Reported,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,19
18755,108003,108003,1,Salto Grande,Salto Grande,Parque Urbano,City Park,National,Not Reported,Not Applicable,Designated,2006,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1850,MX-CAM,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1
18771,108024,108024,1,Santuario de la Tortuga Marina  Xcacel - Xcacelito,Santuario de la Tortuga Marina  Xcacel - Xcacelito,Zona Sujeta a Conservaci├│n Ecol├│gica,Ecological Conservation,National,Not Reported,Not Applicable,Designated,1998,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
18786,108043,108043,1,"Santuario del Manat├¡, Bah├¡a de Chetumal","Santuario del Manat├¡, Bah├¡a de Chetumal",Zona Sujeta a Conservaci├│n Ecol├│gica,Ecological Conservation,National,Not Reported,Not Applicable,Designated,2008,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1415
18859,108139,108139,1,De San Vito,De San Vito,Humedal,Wetland,National,II,Not Applicable,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,0
18865,108150,108150,1,Los Quetzales,Los Quetzales,Parque Nacional,National Park,National,II,Not Applicable,Designated,2006,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-SJ,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,27
18866,108151,108151,1,Terraba-Sierpe,Terraba-Sierpe,Humedal,Wetland,National,II,Not Applicable,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,167
18868,108154,108154,1,Monumento Nacional Guayabo,Monumento Nacional Guayabo,Monumento Nacional,National Monument,National,II,Not Applicable,Designated,1973,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,2
18869,108155,108155,1,Nacional Cariari,Nacional Cariari,Humedal,Wetland,National,II,Not Applicable,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,0
18870,108159,108159,1,Lacustrino Laguna del Paraguas,Lacustrino Laguna del Paraguas,Humedal,Wetland,National,II,Not Applicable,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,0
18874,108173,108173,1,Tapanti-Macizo de la Muerte,Tapanti-Macizo de la Muerte,Parque Nacional,National Park,National,II,Not Applicable,Designated,2000,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,2
18982,115081,115081,1,Laguna del Tigre -R├¡o Escondido-,Laguna del Tigre - R├¡o Escondido,Biotopo Protegido,Protected Biotope,National,II,Not Applicable,Designated,1990,Federal or national ministry or agency,State,CECON / USAC,Not Reported,State Verified,814,GT-PE,GTM,GTM,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1
18988,115101,115101,1,Escudo de Veraguas,Escudo de Veraguas,Paisaje Protegido,Protected Landscape,National,V,Not Applicable,Designated,2009,Indigenous peoples,Communal,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,0
18991,115110,115110,1,Santa Fe,Santa Fe,Parque Nacional,National Park,National,II,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,782
18993,115116,115116,1,Cerro Gaital,Cerro Gaital,Monumento Natural,Natural Monument,National,III,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Ministerio de Ambiente,Not Reported,State Verified,822,Not Reported,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,5
19014,115179,115179,1,Maquenque,Maquenque,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,Proposed,2005,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-H,CRI,CRI,Not Applicable,Not Applicable,35,34,52,,,"Nicaragua, Costa Rica",Mesoamerica,1,,North America,517
19518,116297,116297,1,Vaca,Vaca,Forest Reserve,Forest Reserve,National,VI,Not Applicable,Designated,1991,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,State Verified,1844,BZ-CY,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,161
19719,124383,124383,1,Belize Barrier Reef Reserve System,R├®seau de r├®serves du r├®cif de la barri├¿re du Belize,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii)(ix)(x),Inscribed,1996,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,1
27089,145524,145524,1,Gandoca-Manzanillo,Gandoca-Manzanillo,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv),Designated,1995,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,CR-L,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,10
27090,145525,145525,1,Humedal Caribe Noreste,Humedal Caribe Noreste,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,Not Reported,Designated,1996,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,CR-L,CRI,CRI,Not Applicable,Not Applicable,35,34,52,,,"Nicaragua, Costa Rica",Mesoamerica,1,,North America,8
27129,145584,145584,1,Reserva de Biosfera Bosawas,Reserva de Biosfera Bosawas,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Ministerio del Ambiente y Los Recursos Naturales (MARENA),Not Reported,State Verified,820,NI-JI-CN,NIC,NIC,Not Applicable,Not Applicable,34,33,51,,,"Honduras, Nicaragua",Mesoamerica,1,,North America,6590
40122,166863,166863,1,Crooked Tree,Crooked Tree,Crooked Tree Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,Designated,1984,Collaborative governance,Not Reported,Forest Department/Belize Audubon Society,Not Reported,State Verified,1844,BZ-BZ/BZ-OW,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,148
40152,166954,555599633,1,Arrecifes de Sian Ka'an,Arrecifes de Sian Ka'an,Reserva de la Bi├│sfera,Biosphere Reserve,National,VI,Not Applicable,Designated,1998,Federal or national ministry or agency,State,National Commission of Natural Protected Areas,http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/DOF-ARRECIFES%20DE%20SIAN%20KA_AN.pdf,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,14
40154,166965,166965,1,Arrecifes de Cozumel,Arrecifes de Cozumel,Parque Nacional,National Park,National,IV,Not Applicable,Designated,2000,Federal or national ministry or agency,State,National Commission of Natural Protected Areas,http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/cozumel.pdf,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,8
40155,166966,166966,1,Arrecife de Puerto Morelos,Arrecife de Puerto Morelos,Parque Nacional,National Park,National,IV,Not Applicable,Designated,1998,Federal or national ministry or agency,State,National Commission of Natural Protected Areas,http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/puerto_morelos.pdf,State Verified,1850,MX-ROO,MEX,MEX,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
40345,168122,168122,1,Volcan Turrialba,Volcan Turrialba,Parque Nacional,National Park,National,II,Not Applicable,Designated,1955,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,3
40347,168129,168129,1,Corredor Fronterizo,Corredor Fronterizo,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,Designated,1961,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable,35,34,52,,,"Nicaragua, Costa Rica",Mesoamerica,1,,North America,237
40353,168150,168150,1,Punta Rio Claro,Punta Rio Claro,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,Designated,1997,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,1
40358,168171,168171,1,Cuenca Rio Siquirres,Cuenca Rio Siquirres,Zona Protectora,Protected Zone,National,IV,Not Applicable,Designated,1995,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,7
56385,198339,198339,1,Ci├®naga de Zapata,Ci├®naga de Zapata,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,532,CU-04,CUB,CUB,Not Applicable,Not Applicable,31,30,48,,,Cuba,Mesoamerica,1,,North America,17
56388,198343,198343,1,Reserva de la Bi├│sfera de La Amistad,Reserva de la Bi├│sfera de La Amistad,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2000,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,988,PA-1,PAN,PAN,Not Applicable,Not Applicable,36,35,53,,,"Cost Rica, Panama",Mesoamerica,1,,North America,42
56500,220100,220100,1,Port Honduras,Port Honduras,Port Honduras Marine Reserve,Marine Reserve,National,IV,Not Applicable,Designated,2000,Collaborative governance,Not Reported,Forest Department/Toledo Institute for Development & Environment,Not Reported,State Verified,1844,BZ-TOL,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,3
57181,301907,301907,1,Cahal Pech,Cahal Pech,Archaeological Reserve,Archaeological Reserve,National,VI,Not Applicable,Designated,1995,Federal or national ministry or agency,Not Reported,National Institute of Culture and History,Not Reported,State Verified,1844,BZ-CY,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
57183,301909,301909,1,Corozal Bay,Corozal Bay,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,Designated,1998,Collaborative governance,Not Reported,Forest Department/Sarteneja Wildlife Environment and Ecosytem Team,Not Reported,State Verified,1844,BZ-CZL,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,149
57184,301910,301910,1,El Pilar,El Pilar,Archaeological Reserve,Archaeological Reserve,National,VI,Not Applicable,Designated,1998,Federal or national ministry or agency,Not Reported,National Institute of Culture and History,Not Reported,State Verified,1844,BZ-CY,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,7
57185,301911,301911,1,Gales Point,Gales Point,Wildlife Sanctuary,Wildlife Sanctuary,National,IV,Not Applicable,Designated,1998,Collaborative governance,Not Reported,Forest Department/Gales Point Consortuim and Mananagement Committee,Not Reported,State Verified,1844,BZ-BZ,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,37
57186,301912,301912,1,Honey Camp,Honey Camp,National Park,National Park,National,II,Not Applicable,Designated,2001,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,State Verified,1844,BZ-CZL/BZ-OW,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,31
57187,301913,301913,1,Monkey Bay Wildlife Sanctuary,Monkey Bay Wildlife Sanctuary,Private Reserve,Private Reserve,National,IV,Not Applicable,Designated,1990,Individual landowners,Not Reported,Mathew Miller,Not Reported,State Verified,1844,BZ-BZ,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,5
57188,301914,301914,1,Monkey Bay,Monkey Bay,National Park,National Park,National,II,Not Applicable,Designated,1994,Federal or national ministry or agency,Not Reported,Forest Department,Not Reported,State Verified,1844,BZ-BZ,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,7
57190,301916,301916,1,Tapir Mountain,Tapir Mountain,Nature Reserve,Nature Reserve,National,II,Not Applicable,Designated,2004,Collaborative governance,Not Reported,Forest Department/Belize Audubon Society,Not Reported,State Verified,1844,BZ-CY,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,26
57191,301918,301918,1,Victoria Peak,Victoria Peak,Natural Monument,Natural Monument,National,III,Not Applicable,Designated,1998,Federal or national ministry or agency,Not Reported,Forest Department/Belize Audubon Society,Not Reported,State Verified,1844,BZ-SC,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,20
57195,301930,301930,1,Billy Barquedier,Billy Barquedier,National Park,National Park,National,II,Not Applicable,Designated,2001,Local communities,Not Reported,Forest Department/Friends of the Valley,Not Reported,State Verified,1844,BZ-SC,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,7
57196,301932,301932,1,Nojkaaxmeen Eligio Panti,Nojkaaxmeen Eligio Panti,National Park,National Park,National,II,Not Applicable,Designated,2001,Collaborative governance,Not Reported,Forest Department/Itzama Society,Not Reported,State Verified,1844,BZ-CY,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,52
57197,301934,301934,1,Mayflower Bocawina,Mayflower Bocawina,National Park,National Park,National,II,Not Applicable,Designated,2001,Local communities,Not Reported,Forest Department/Friends of Mayflower/Bocawina,Not Reported,State Verified,1844,BZ-SC,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,29
57200,301941,301941,1,Golden Stream Corridor Preserve,Golden Stream Corridor Preserve,Private Reserve,Private Reserve,National,IV,Not Applicable,Designated,1998,Not Reported,Not Reported,Ya 'axche Conservation Trust,Not Reported,State Verified,1844,BZ-TOL,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,61
57201,301942,301942,1,Cerro Maya,Cerro Maya,Archaeological Reserve,Archaeological Reserve,National,VI,Not Applicable,Designated,1976,Federal or national ministry or agency,Not Reported,National Institute of Culture and History,Not Reported,State Verified,1844,BZ-CZL,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,0
57202,301943,301943,1,Lamanai,Lamanai,Archaeological Reserve,Archaeological Reserve,National,VI,Not Applicable,Designated,1985,Federal or national ministry or agency,Not Reported,National Institute of Culture and History,Not Reported,State Verified,1844,BZ-OW,BLZ,BLZ,Not Applicable,Not Applicable,33,32,50,,,"Mexico, Belize",Mesoamerica,1,,North America,3
