FID_WDPA_O,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,FID_strong,FID_stro_1,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,WCS_SH,Reason,CONTINENT,sq_km
1329,2570,2570,1,Los Glaciares National Park,Parque Nacional Los Glaciares,Sitio Patrimonio de la Humanidad (natural o mixto),World Heritage Site (natural or mixed),International,Not Applicable,(vii)(viii),Inscribed,1981,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,1852,Not Reported,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,660
1624,3371,3371,1,Golfo San Jos├®,Golfo San Jos├®,Reserva Natural Tur├¡stica,Tourist Nature Reserve,National,II,Not Applicable,Designated,1974,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,7
1895,4330,4330,1,Lan├¡n,Lan├¡n,Reserva Nacional,National Reserve,National,VI,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PlanGestionPNLanin.pdf,State Verified,1935,AR-Q,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,1933
2196,5196,5196,1,Araucarias,Araucarias,Reserva Bi├│sfera,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1983,Federal or national ministry or agency,Not Reported,Corporaci├│n Nacional Forestal (CONAF),Not Rerported,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,6606
2932,7909,7909,1,Alerce Andino,Alerce Andino,Parque Nacional,National Park,National,II,Not Applicable,Designated,1983,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20PN%20Alerce%20Andino.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,311
3256,9414,9414,1,Bernardo O'Higgins,Bernardo O'Higgins,Parque Nacional,National Park,National,II,Not Applicable,Designated,1969,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20PN%20Bernardo%20Ohiggins.pdf,State Verified,1808,"CL-MA, CL-AI",CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,34075
3257,9415,9415,1,Laguna del Laja,Laguna del Laja,Parque Nacional,National Park,National,II,Not Applicable,Designated,1958,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PN%20Laguna%20del%20Laja.pdf,State Verified,1808,CL-BI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,160
3259,9417,9417,1,Tolhuaca,Tolhuaca,Parque Nacional,National Park,National,II,Not Applicable,Designated,1935,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PM_PN_Tolhuaca.pdf,State Verified,1808,CL-AR,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,1
3261,9419,9419,1,Isla Magdalena,Isla Magdalena,Parque Nacional,National Park,National,II,Not Applicable,Designated,1983,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AI,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,2005
3263,9421,9421,1,El Morado,El Morado,Monumento Natural,Natural Monument,National,III,Not Applicable,Designated,1995,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20el%20morado.pdf,State Verified,1808,CL-RM,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,29
